"ensembl.transcriptID";"Onco_annotation"
"1";"ENST00000006015";"TSG"
"2";"ENST00000009530";"Oncogene"
"3";"ENST00000053243";"Oncogene"
"4";"ENST00000078429";"Oncogene"
"5";"ENST00000164227";"Oncogene"
"6";"ENST00000166345";"TSG|Oncogene"
"7";"ENST00000168712";"Oncogene"
"8";"ENST00000171111";"TSG"
"9";"ENST00000179259";"Oncogene"
"10";"ENST00000199936";"TSG"
"11";"ENST00000205143";"Oncogene"
"12";"ENST00000206249";"Oncogene"
"13";"ENST00000215832";"Oncogene"
"14";"ENST00000216037";"Oncogene"
"15";"ENST00000216281";"Oncogene"
"16";"ENST00000216714";"Oncogene"
"17";"ENST00000216797";"TSG"
"18";"ENST00000217233";"Oncogene"
"19";"ENST00000218089";"TSG"
"20";"ENST00000218147";"TSG"
"21";"ENST00000219066";"TSG"
"22";"ENST00000219476";"TSG"
"23";"ENST00000219905";"TSG"
"24";"ENST00000220772";"TSG"
"25";"ENST00000221486";"Oncogene"
"26";"ENST00000221972";"Oncogene"
"27";"ENST00000222139";"Oncogene"
"28";"ENST00000222254";"TSG"
"29";"ENST00000222329";"TSG"
"30";"ENST00000222390";"Oncogene"
"31";"ENST00000225577";"Oncogene"
"32";"ENST00000225792";"Oncogene"
"33";"ENST00000225964";"Oncogene"
"34";"ENST00000226382";"TSG"
"35";"ENST00000227507";"Oncogene"
"36";"ENST00000228682";"Oncogene"
"37";"ENST00000228837";"Oncogene"
"38";"ENST00000228872";"TSG"
"39";"ENST00000229340";"Oncogene"
"40";"ENST00000229769";"TSG"
"41";"ENST00000231790";"TSG"
"42";"ENST00000231948";"TSG"
"43";"ENST00000232014";"Oncogene"
"44";"ENST00000233146";"TSG"
"45";"ENST00000233741";"TSG"
"46";"ENST00000234420";"TSG"
"47";"ENST00000234739";"Oncogene"
"48";"ENST00000235310";"TSG|Oncogene"
"49";"ENST00000236959";"Oncogene"
"50";"ENST00000237289";"TSG"
"51";"ENST00000237305";"Oncogene"
"52";"ENST00000237837";"Oncogene"
"53";"ENST00000237853";"TSG|Oncogene"
"54";"ENST00000239938";"TSG"
"55";"ENST00000240100";"TSG"
"56";"ENST00000241393";"Oncogene"
"57";"ENST00000241416";"TSG|Oncogene"
"58";"ENST00000241453";"Oncogene"
"59";"ENST00000242208";"TSG|Oncogene"
"60";"ENST00000242480";"TSG"
"61";"ENST00000243786";"TSG"
"62";"ENST00000244534";"TSG"
"63";"ENST00000244741";"TSG"
"64";"ENST00000245414";"TSG"
"65";"ENST00000245479";"TSG|Oncogene"
"66";"ENST00000245903";"Oncogene"
"67";"ENST00000246792";"Oncogene"
"68";"ENST00000248071";"TSG"
"69";"ENST00000249071";"Oncogene"
"70";"ENST00000249373";"Oncogene"
"71";"ENST00000249910";"TSG"
"72";"ENST00000250003";"TSG"
"73";"ENST00000250066";"Oncogene"
"74";"ENST00000250405";"Oncogene"
"75";"ENST00000250448";"TSG|Oncogene"
"76";"ENST00000251849";"Oncogene"
"77";"ENST00000252034";"Oncogene"
"78";"ENST00000253063";"TSG"
"79";"ENST00000253339";"TSG"
"80";"ENST00000254108";"Oncogene"
"81";"ENST00000256015";"TSG"
"82";"ENST00000256196";"Oncogene"
"83";"ENST00000256474";"TSG"
"84";"ENST00000256646";"TSG|Oncogene"
"85";"ENST00000256996";"TSG"
"86";"ENST00000256999";"Oncogene"
"87";"ENST00000257254";"TSG|Oncogene"
"88";"ENST00000257290";"Oncogene"
"89";"ENST00000257430";"TSG"
"90";"ENST00000257552";"Oncogene"
"91";"ENST00000257555";"TSG"
"92";"ENST00000257566";"TSG"
"93";"ENST00000257600";"TSG"
"94";"ENST00000257749";"TSG"
"95";"ENST00000257904";"Oncogene"
"96";"ENST00000257963";"TSG"
"97";"ENST00000258149";"Oncogene"
"98";"ENST00000258439";"TSG"
"99";"ENST00000258494";"Oncogene"
"100";"ENST00000259008";"TSG"
"101";"ENST00000259021";"Oncogene"
"102";"ENST00000260947";"TSG"
"103";"ENST00000261254";"Oncogene"
"104";"ENST00000261349";"Oncogene"
"105";"ENST00000261438";"TSG"
"106";"ENST00000261464";"TSG"
"107";"ENST00000261584";"TSG"
"108";"ENST00000261733";"TSG"
"109";"ENST00000261769";"TSG"
"110";"ENST00000261799";"Oncogene"
"111";"ENST00000261822";"TSG"
"112";"ENST00000261937";"Oncogene"
"113";"ENST00000262053";"Oncogene"
"114";"ENST00000262160";"TSG"
"115";"ENST00000262187";"Oncogene"
"116";"ENST00000262189";"TSG"
"117";"ENST00000262238";"Oncogene"
"118";"ENST00000262244";"TSG"
"119";"ENST00000262320";"TSG"
"120";"ENST00000262367";"TSG"
"121";"ENST00000262426";"TSG|Oncogene"
"122";"ENST00000262519";"Oncogene"
"123";"ENST00000262613";"TSG|Oncogene"
"124";"ENST00000262643";"Oncogene"
"125";"ENST00000262662";"TSG"
"126";"ENST00000262713";"TSG"
"127";"ENST00000262719";"TSG"
"128";"ENST00000262741";"TSG"
"129";"ENST00000262809";"Oncogene"
"130";"ENST00000262887";"TSG"
"131";"ENST00000262948";"Oncogene"
"132";"ENST00000262992";"TSG"
"133";"ENST00000262994";"Oncogene"
"134";"ENST00000263025";"Oncogene"
"135";"ENST00000263208";"TSG"
"136";"ENST00000263253";"TSG"
"137";"ENST00000263360";"TSG"
"138";"ENST00000263377";"Oncogene"
"139";"ENST00000263388";"TSG|Oncogene"
"140";"ENST00000263464";"TSG|Oncogene"
"141";"ENST00000263620";"TSG"
"142";"ENST00000263640";"Oncogene"
"143";"ENST00000263735";"TSG"
"144";"ENST00000263800";"Oncogene"
"145";"ENST00000263826";"Oncogene"
"146";"ENST00000263923";"Oncogene"
"147";"ENST00000263967";"Oncogene"
"148";"ENST00000264010";"TSG"
"149";"ENST00000264033";"TSG"
"150";"ENST00000264183";"TSG"
"151";"ENST00000264414";"TSG"
"152";"ENST00000264657";"Oncogene"
"153";"ENST00000264664";"Oncogene"
"154";"ENST00000264705";"Oncogene"
"155";"ENST00000264709";"TSG"
"156";"ENST00000264731";"TSG|Oncogene"
"157";"ENST00000264818";"Oncogene"
"158";"ENST00000264932";"TSG"
"159";"ENST00000265026";"Oncogene"
"160";"ENST00000265081";"TSG"
"161";"ENST00000265165";"Oncogene"
"162";"ENST00000265343";"Oncogene"
"163";"ENST00000265428";"Oncogene"
"164";"ENST00000265433";"TSG"
"165";"ENST00000265734";"Oncogene"
"166";"ENST00000265814";"Oncogene"
"167";"ENST00000265849";"TSG"
"168";"ENST00000266000";"TSG"
"169";"ENST00000266674";"Oncogene"
"170";"ENST00000266744";"Oncogene"
"171";"ENST00000267101";"Oncogene"
"172";"ENST00000267163";"TSG"
"173";"ENST00000267430";"TSG"
"174";"ENST00000267843";"Oncogene"
"175";"ENST00000267868";"TSG"
"176";"ENST00000268058";"TSG"
"177";"ENST00000268171";"Oncogene"
"178";"ENST00000268182";"Oncogene"
"179";"ENST00000268489";"TSG"
"180";"ENST00000268603";"Oncogene"
"181";"ENST00000268638";"TSG"
"182";"ENST00000268679";"TSG"
"183";"ENST00000268712";"TSG"
"184";"ENST00000269141";"Oncogene"
"185";"ENST00000269216";"Oncogene"
"186";"ENST00000269305";"TSG"
"187";"ENST00000269394";"TSG"
"188";"ENST00000269571";"Oncogene"
"189";"ENST00000270517";"Oncogene"
"190";"ENST00000271452";"Oncogene"
"191";"ENST00000271526";"Oncogene"
"192";"ENST00000271640";"TSG|Oncogene"
"193";"ENST00000272117";"Oncogene"
"194";"ENST00000272342";"TSG"
"195";"ENST00000272928";"TSG|Oncogene"
"196";"ENST00000274063";"TSG|Oncogene"
"197";"ENST00000274376";"TSG"
"198";"ENST00000274498";"TSG|Oncogene"
"199";"ENST00000274545";"Oncogene"
"200";"ENST00000275364";"Oncogene"
"201";"ENST00000275493";"Oncogene"
"202";"ENST00000276014";"Oncogene"
"203";"ENST00000276390";"TSG"
"204";"ENST00000276925";"TSG"
"205";"ENST00000277120";"Oncogene"
"206";"ENST00000278616";"TSG"
"207";"ENST00000279146";"TSG|Oncogene"
"208";"ENST00000279873";"TSG"
"209";"ENST00000280892";"Oncogene"
"210";"ENST00000281043";"Oncogene"
"211";"ENST00000281708";"TSG"
"212";"ENST00000282018";"Oncogene"
"213";"ENST00000282077";"Oncogene"
"214";"ENST00000282388";"TSG"
"215";"ENST00000282397";"Oncogene"
"216";"ENST00000282441";"Oncogene"
"217";"ENST00000283109";"Oncogene"
"218";"ENST00000283195";"Oncogene"
"219";"ENST00000283752";"TSG|Oncogene"
"220";"ENST00000283928";"Oncogene"
"221";"ENST00000284073";"Oncogene"
"222";"ENST00000284440";"Oncogene"
"223";"ENST00000285021";"TSG"
"224";"ENST00000285071";"TSG"
"225";"ENST00000285398";"TSG"
"226";"ENST00000286523";"TSG"
"227";"ENST00000286548";"Oncogene"
"228";"ENST00000286574";"TSG"
"229";"ENST00000287598";"Oncogene"
"230";"ENST00000287820";"Oncogene"
"231";"ENST00000288135";"Oncogene"
"232";"ENST00000288319";"Oncogene"
"233";"ENST00000289081";"TSG"
"234";"ENST00000289153";"Oncogene"
"235";"ENST00000290295";"TSG|Oncogene"
"236";"ENST00000290551";"TSG"
"237";"ENST00000291552";"Oncogene"
"238";"ENST00000292408";"Oncogene"
"239";"ENST00000292535";"TSG"
"240";"ENST00000292782";"Oncogene"
"241";"ENST00000293328";"Oncogene"
"242";"ENST00000294008";"TSG"
"243";"ENST00000294304";"TSG|Oncogene"
"244";"ENST00000294312";"Oncogene"
"245";"ENST00000294339";"Oncogene"
"246";"ENST00000294785";"Oncogene"
"247";"ENST00000295025";"Oncogene"
"248";"ENST00000295050";"TSG"
"249";"ENST00000295408";"Oncogene"
"250";"ENST00000295598";"TSG|Oncogene"
"251";"ENST00000295633";"Oncogene"
"252";"ENST00000295754";"TSG"
"253";"ENST00000295797";"Oncogene"
"254";"ENST00000295900";"Oncogene"
"255";"ENST00000296474";"Oncogene"
"256";"ENST00000296870";"Oncogene"
"257";"ENST00000296921";"Oncogene"
"258";"ENST00000296930";"TSG"
"259";"ENST00000297316";"TSG"
"260";"ENST00000297338";"TSG"
"261";"ENST00000297574";"Oncogene"
"262";"ENST00000298139";"TSG"
"263";"ENST00000298229";"TSG"
"264";"ENST00000298552";"TSG"
"265";"ENST00000299084";"TSG"
"266";"ENST00000299162";"Oncogene"
"267";"ENST00000299575";"TSG"
"268";"ENST00000300036";"TSG"
"269";"ENST00000300131";"Oncogene"
"270";"ENST00000300134";"Oncogene"
"271";"ENST00000300175";"Oncogene"
"272";"ENST00000300177";"Oncogene"
"273";"ENST00000300305";"TSG"
"274";"ENST00000300853";"TSG"
"275";"ENST00000301030";"TSG"
"276";"ENST00000301067";"TSG"
"277";"ENST00000301178";"Oncogene"
"278";"ENST00000301761";"TSG"
"279";"ENST00000302326";"Oncogene"
"280";"ENST00000302342";"Oncogene"
"281";"ENST00000302345";"Oncogene"
"282";"ENST00000302763";"TSG"
"283";"ENST00000302850";"Oncogene"
"284";"ENST00000303115";"Oncogene"
"285";"ENST00000303407";"Oncogene"
"286";"ENST00000303635";"TSG"
"287";"ENST00000304218";"Oncogene"
"288";"ENST00000304494";"TSG"
"289";"ENST00000304992";"TSG"
"290";"ENST00000305123";"Oncogene"
"291";"ENST00000305188";"TSG"
"292";"ENST00000305877";"Oncogene"
"293";"ENST00000305921";"Oncogene"
"294";"ENST00000306376";"Oncogene"
"295";"ENST00000306801";"Oncogene"
"296";"ENST00000307046";"Oncogene"
"297";"ENST00000307078";"TSG"
"298";"ENST00000307102";"Oncogene"
"299";"ENST00000307179";"Oncogene"
"300";"ENST00000307729";"Oncogene"
"301";"ENST00000308167";"Oncogene"
"302";"ENST00000308377";"TSG"
"303";"ENST00000308677";"Oncogene"
"304";"ENST00000308731";"Oncogene"
"305";"ENST00000308874";"Oncogene"
"306";"ENST00000309042";"TSG"
"307";"ENST00000309156";"Oncogene"
"308";"ENST00000309383";"TSG"
"309";"ENST00000309660";"TSG"
"310";"ENST00000310581";"Oncogene"
"311";"ENST00000311234";"TSG"
"312";"ENST00000311487";"Oncogene"
"313";"ENST00000311895";"TSG"
"314";"ENST00000311936";"Oncogene"
"315";"ENST00000312049";"TSG"
"316";"ENST00000312156";"Oncogene"
"317";"ENST00000312293";"Oncogene"
"318";"ENST00000312465";"Oncogene"
"319";"ENST00000312629";"Oncogene"
"320";"ENST00000312783";"Oncogene"
"321";"ENST00000312916";"Oncogene"
"322";"ENST00000314191";"TSG|Oncogene"
"323";"ENST00000314425";"TSG"
"324";"ENST00000314574";"Oncogene"
"325";"ENST00000315596";"TSG"
"326";"ENST00000315869";"Oncogene"
"327";"ENST00000316448";"Oncogene"
"328";"ENST00000316626";"Oncogene"
"329";"ENST00000316660";"TSG"
"330";"ENST00000317257";"TSG"
"331";"ENST00000317961";"TSG|Oncogene"
"332";"ENST00000318443";"Oncogene"
"333";"ENST00000318522";"Oncogene"
"334";"ENST00000318560";"Oncogene"
"335";"ENST00000318789";"TSG|Oncogene"
"336";"ENST00000319349";"Oncogene"
"337";"ENST00000319397";"TSG|Oncogene"
"338";"ENST00000320211";"TSG"
"339";"ENST00000320356";"TSG|Oncogene"
"340";"ENST00000320574";"TSG"
"341";"ENST00000320623";"Oncogene"
"342";"ENST00000321945";"TSG"
"343";"ENST00000321949";"Oncogene"
"344";"ENST00000322088";"TSG"
"345";"ENST00000322213";"TSG"
"346";"ENST00000322357";"TSG|Oncogene"
"347";"ENST00000322535";"Oncogene"
"348";"ENST00000322652";"TSG"
"349";"ENST00000323929";"TSG"
"350";"ENST00000323963";"Oncogene"
"351";"ENST00000324106";"Oncogene"
"352";"ENST00000324288";"TSG"
"353";"ENST00000324856";"TSG"
"354";"ENST00000325385";"TSG|Oncogene"
"355";"ENST00000325404";"Oncogene"
"356";"ENST00000325455";"Oncogene"
"357";"ENST00000325599";"TSG"
"358";"ENST00000326873";"TSG"
"359";"ENST00000327367";"TSG"
"360";"ENST00000327470";"TSG"
"361";"ENST00000328111";"TSG"
"362";"ENST00000328345";"Oncogene"
"363";"ENST00000328850";"Oncogene"
"364";"ENST00000330062";"Oncogene"
"365";"ENST00000330503";"TSG"
"366";"ENST00000330684";"TSG"
"367";"ENST00000330871";"TSG"
"368";"ENST00000331163";"Oncogene"
"369";"ENST00000331442";"TSG"
"370";"ENST00000331920";"TSG"
"371";"ENST00000332029";"TSG"
"372";"ENST00000332070";"TSG"
"373";"ENST00000333590";"TSG"
"374";"ENST00000333681";"Oncogene"
"375";"ENST00000334134";"Oncogene"
"376";"ENST00000334205";"Oncogene"
"377";"ENST00000334344";"TSG"
"378";"ENST00000334409";"Oncogene"
"379";"ENST00000334736";"Oncogene"
"380";"ENST00000335135";"TSG"
"381";"ENST00000335508";"Oncogene"
"382";"ENST00000335790";"Oncogene"
"383";"ENST00000335972";"Oncogene"
"384";"ENST00000336440";"TSG"
"385";"ENST00000336596";"TSG"
"386";"ENST00000336617";"TSG"
"387";"ENST00000336812";"TSG|Oncogene"
"388";"ENST00000336890";"Oncogene"
"389";"ENST00000336909";"Oncogene"
"390";"ENST00000337138";"Oncogene"
"391";"ENST00000337432";"TSG"
"392";"ENST00000337706";"Oncogene"
"393";"ENST00000338099";"TSG"
"394";"ENST00000338641";"TSG"
